nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
#CAIXAlab,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,
011.Lab,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,https://011lab.prefeitura.sp.gov.br/
ANA Inova,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
BoraLab - Laboratório de Inovação de Maceió,Laboratório de Inovação,AL,Maceió,-9.6498,-35.7089,lisp_brasil_mapeamento,https://boralab.maceio.al.gov.br/
CGDFLab - Laboratório de inovação da Controladoria-Geral do Distrito Federal,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
CGU Lab,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
CINCO - Ciências Comportamentais em Governo,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
CLic – Laboratório de Inovação,Laboratório de Inovação,CE,Fortaleza,-3.7172,-38.5433,lisp_brasil_mapeamento,
coLAB-i - Laboratório de Inovação e Coparticipação,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,https://portal.tcu.gov.br/colab-i/
ConnectLab,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,
Correios Lab,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
CriaSP,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,
E-LabMP - MPMT,Laboratório de Inovação,MT,Cuiabá,-15.6014,-56.0979,lisp_brasil_mapeamento,
EITA!Recife,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,
Embratur Lab,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Epicentro - Hub de inovação,Laboratório de Inovação,ES,Vitória,-20.3155,-40.3128,lisp_brasil_mapeamento,
ESAP Lab - Laboratório de Criatividade e Inovações em Políticas Públicas,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,https://www.guarulhoshoje.com.br/2020/12/09/esap-completa-15-anos-qualificando-milhares-de-servidores/
FELICILAB - Laboratório de Inovação no SUS do Ceará,Laboratório de Inovação,CE,Fortaleza,-3.7172,-38.5433,lisp_brasil_mapeamento,
Flores Inovadora,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
GentiLAB,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,
Gnova Lab,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
HUBSSP/SC - Laboratório de Inovação em Segurança Pública,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,
iLAB DPRJ,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
iMPacta Lab,Laboratório de Inovação,AM,Manaus,-3.119,-60.0217,lisp_brasil_mapeamento,
IMPulsoLab,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,
INOVA - MPRJ,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
INOVA MPRJ,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
INOVA PRF,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Inovadoria,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
InovaEscola - Laboratório de Aprendizagem e de Transformação,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
